Cidade;Total;0 a 4 anos;5 a 9 anos;10 a 14 anos;15 a 19 anos;20 a 24 anos;25 a 29 anos;30 a 34 anos;35 a 39 anos;40 a 44 anos;45 a 49 anos;50 a 54 anos;55 a 59 anos;60 a 64 anos;65 a 69 anos;70 a 74 anos;75 a 79 anos;80 a 84 anos;85 a 89 anos;90 a 94 anos;95 a 99 anos;100 anos ou mais;Total;0 a 4 anos;5 a 9 anos;10 a 14 anos;15 a 19 anos;20 a 24 anos;25 a 29 anos;30 a 34 anos;35 a 39 anos;40 a 44 anos;45 a 49 anos;50 a 54 anos;55 a 59 anos;60 a 64 anos;65 a 69 anos;70 a 74 anos;75 a 79 anos;80 a 84 anos;85 a 89 anos;90 a 94 anos;95 a 99 anos;100 anos ou mais;Total;0 a 4 anos;5 a 9 anos;10 a 14 anos;15 a 19 anos;20 a 24 anos;25 a 29 anos;30 a 34 anos;35 a 39 anos;40 a 44 anos;45 a 49 anos;50 a 54 anos;55 a 59 anos;60 a 64 anos;65 a 69 anos;70 a 74 anos;75 a 79 anos;80 a 84 anos;85 a 89 anos;90 a 94 anos;95 a 99 anos;100 anos ou mais
Cordeiro (RJ);20783;1186;1333;1201;1316;1399;1374;1415;1561;1590;1380;1404;1400;1210;1025;815;519;360;187;81;24;3;9833;617;662;610;671;705;640;653;775;703;672;656;638;555;469;362;220;137;64;21;3;-;10950;569;671;591;645;694;734;762;786;887;708;748;762;655;556;453;299;223;123;60;21;3
Duas Barras (RJ);10980;629;695;720;751;757;715;742;825;836;772;703;766;628;515;398;257;133;87;35;14;2;5414;291;339;372;377;394;347;367;401;402;363;336;377;320;254;210;137;67;37;18;5;-;5566;338;356;348;374;363;368;375;424;434;409;367;389;308;261;188;120;66;50;17;9;2
Duque de Caxias (RJ);808161;49627;57901;53339;56238;62105;60581;58821;59495;64101;54930;53629;48903;42526;34015;23458;13711;8368;4195;1710;429;79;384174;25140;29509;27187;28718;30396;29093;27950;27998;30355;25814;25179;22408;19129;14896;9942;5452;3066;1363;462;102;15;423987;24487;28392;26152;27520;31709;31488;30871;31497;33746;29116;28450;26495;23397;19119;13516;8259;5302;2832;1248;327;64
Engenheiro Paulo de Frontin (RJ);12242;642;673;643;720;820;796;834;835;918;861;883;876;821;714;477;329;207;128;55;7;3;5830;303;339;324;363;422;389;407;395;410;435;414;427;399;314;201;137;83;42;24;1;1;6412;339;334;319;357;398;407;427;440;508;426;469;449;422;400;276;192;124;86;31;6;2
Guapimirim (RJ);51696;3193;3673;3483;3657;3883;3807;3763;3946;4084;3482;3377;2932;2722;2187;1565;940;562;267;124;39;10;25135;1644;1919;1837;1862;1936;1756;1790;1820;1953;1705;1633;1396;1302;1023;752;430;236;97;36;8;-;26561;1549;1754;1646;1795;1947;2051;1973;2126;2131;1777;1744;1536;1420;1164;813;510;326;170;88;31;10
Iguaba Grande (RJ);27920;1450;1694;1678;1757;1793;1656;1618;1870;2098;1889;1861;1936;1861;1735;1305;818;486;274;111;25;5;13178;701;851;916;896;886;825;760;822;981;889;866;872;841;770;571;398;201;94;31;6;1;14742;749;843;762;861;907;831;858;1048;1117;1000;995;1064;1020;965;734;420;285;180;80;19;4
Itaboraí (RJ);224267;13269;15318;14127;14651;15788;15991;16066;16855;18729;16668;15405;14124;12358;9737;6954;4063;2367;1136;478;156;27;107683;6697;7827;7339;7520;7664;7600;7620;7935;8952;7919;7290;6751;5696;4345;3103;1831;975;418;146;49;6;116584;6572;7491;6788;7131;8124;8391;8446;8920;9777;8749;8115;7373;6662;5392;3851;2232;1392;718;332;107;21
Itaguaí (RJ);116841;7625;8713;8168;8270;8911;8644;8350;8908;9564;7670;7427;6556;5932;4711;3432;1928;1174;573;226;54;5;57005;3871;4404;4217;4223;4396;4189;3987;4319;4623;3785;3628;3082;2764;2222;1578;889;523;210;78;16;1;59836;3754;4309;3951;4047;4515;4455;4363;4589;4941;3885;3799;3474;3168;2489;1854;1039;651;363;148;38;4
Italva (RJ);14073;707;821;767;780;814;798;981;1073;1019;917;965;1057;940;841;623;435;303;142;67;17;6;6826;373;394;399;385;427;364;497;517;495;446;463;497;427;410;302;194;145;54;28;6;3;7247;334;427;368;395;387;434;484;556;524;471;502;560;513;431;321;241;158;88;39;11;3
Itaocara (RJ);22919;1159;1309;1162;1350;1396;1395;1441;1580;1791;1567;1683;1660;1524;1279;1031;751;442;275;92;30;2;11070;598;642;611;690;735;686;698;755;845;772;772;762;726;593;470;358;199;115;33;9;1;11849;561;667;551;660;661;709;743;825;946;795;911;898;798;686;561;393;243;160;59;21;1
